Episode,Total_Timesteps,Reward
1,67,-26.487445831298828
2,143,-24.299039840698242
3,178,-14.40735149383545
4,328,-35.92723083496094
5,371,-18.876678466796875
6,413,-22.58112907409668
7,478,-23.535675048828125
8,505,-14.823919296264648
9,570,-22.152179718017578
10,657,-38.309791564941406
11,699,-22.058130264282227
12,738,-15.805227279663086
13,806,-30.225582122802734
14,859,-21.007240295410156
15,989,-52.68524932861328
16,1039,-15.69803524017334
17,1189,-44.98362731933594
18,1234,-19.32604217529297
19,1267,-16.459470748901367
20,1417,-10.885493278503418
21,1453,-16.88718032836914
22,1503,-27.083271026611328
23,1537,-13.834965705871582
24,1585,-24.747400283813477
25,1735,-42.3067741394043
26,1794,-22.244842529296875
27,1834,-22.983901977539062
28,1854,-15.457778930664062
29,1990,-57.20749282836914
30,2076,-29.92143440246582
31,2105,-16.879173278808594
32,2141,-14.120746612548828
33,2166,-14.592426300048828
34,2207,-19.769397735595703
35,2239,-16.690462112426758
36,2305,-16.868589401245117
37,2332,-16.087099075317383
38,2440,-31.08531951904297
39,2572,-37.04916000366211
40,2673,-31.178152084350586
41,2823,-51.649131774902344
42,2883,-21.507164001464844
43,2924,-22.555360794067383
44,3005,-35.01322937011719
45,3032,-14.813528060913086
46,3101,-32.46780014038086
47,3192,-18.01981544494629
48,3229,-20.20665740966797
49,3274,-16.446767807006836
50,3380,-20.017515182495117
51,3419,-13.498032569885254
52,3476,-18.05679702758789
53,3549,-34.04873275756836
54,3625,-24.19593048095703
55,3676,-16.19698715209961
56,3733,-21.737939834594727
57,3766,-20.213476181030273
58,3804,-16.296932220458984
59,3833,-15.773056983947754
60,3847,-13.440584182739258
61,3913,-18.203876495361328
62,3980,-15.851766586303711
63,4024,-23.511280059814453
64,4064,-15.624307632446289
65,4111,-14.990653038024902
66,4252,-36.59547424316406
67,4321,-17.93589973449707
68,4351,-20.54008674621582
69,4394,-21.948322296142578
70,4418,28.01467514038086
71,4482,-15.4069242477417
72,4514,-19.052499771118164
73,4606,-18.059391021728516
74,4635,-16.99673080444336
75,4692,-25.650562286376953
76,4714,-13.789320945739746
77,4835,-22.792861938476562
78,4863,-15.501496315002441
79,4899,-21.3840389251709
80,4937,-23.752822875976562
81,4960,-16.55493927001953
82,5045,-16.730899810791016
83,5125,-27.611831665039062
84,5176,-20.474395751953125
85,5326,-13.173562049865723
86,5459,-25.163494110107422
87,5555,-22.249942779541016
88,5586,-19.686376571655273
89,5637,-27.155515670776367
90,5662,-14.619478225708008
91,5727,-16.249591827392578
92,5872,-23.13827133178711
93,5962,-17.71501922607422
94,6111,-23.566566467285156
95,6196,-16.214624404907227
96,6256,-15.749187469482422
97,6373,-35.397090911865234
98,6433,-17.959653854370117
99,6519,-25.96550750732422
100,6644,-24.362228393554688
101,6756,-46.477256774902344
102,6831,-19.766712188720703
103,6906,-20.80324935913086
104,6997,-21.882986068725586
105,7123,-28.826263427734375
106,7156,-16.852924346923828
107,7194,-18.187335968017578
108,7274,-29.964252471923828
109,7276,29.88011932373047
110,7278,29.87373924255371
111,7319,-23.470123291015625
112,7382,-16.233135223388672
113,7431,-19.610828399658203
114,7477,-13.65721321105957
115,7549,-27.26120376586914
116,7647,-20.02483367919922
117,7669,-17.561119079589844
118,7742,-15.578251838684082
119,7783,-17.492847442626953
120,7800,-14.510918617248535
121,7846,-21.595504760742188
122,7956,-18.500732421875
123,7981,-6.119534492492676
124,8021,-16.79730224609375
125,8096,-16.837200164794922
126,8150,-20.895586013793945
127,8225,-18.73533058166504
128,8312,-22.326038360595703
129,8462,-12.302362442016602
130,8531,-28.39437484741211
131,8557,-16.810081481933594
132,8707,-10.946258544921875
133,8741,-17.654029846191406
134,8770,-14.60746955871582
135,8826,-21.289730072021484
136,8915,-20.377540588378906
137,8982,-16.38031578063965
138,9033,-25.65234375
139,9059,-15.367639541625977
140,9168,-24.717023849487305
141,9215,-18.23023223876953
142,9291,-23.421119689941406
143,9319,27.97223472595215
144,9364,-22.581146240234375
145,9514,-12.57955265045166
146,9661,17.028148651123047
147,9700,-14.724725723266602
148,9738,-19.76251220703125
149,9785,-13.989734649658203
150,9829,-21.00712013244629
151,9864,-20.910900115966797
152,10014,-13.284910202026367
153,10037,-13.095312118530273
154,10134,-20.090044021606445
155,10168,-19.488548278808594
156,10220,-15.264078140258789
157,10255,-22.298423767089844
158,10272,-12.772161483764648
159,10294,-13.992568969726562
160,10392,20.266815185546875
161,10422,-19.423419952392578
162,10423,29.940513610839844
163,10523,-24.84499740600586
164,10591,-18.1363525390625
165,10613,-14.57916259765625
166,10710,-20.058917999267578
167,10737,-18.463916778564453
168,10877,-23.070444107055664
169,10924,-17.71399688720703
170,10949,-17.68012809753418
171,11049,20.024019241333008
172,11117,-16.46518898010254
173,11119,29.895484924316406
174,11142,-15.02375602722168
175,11143,29.947751998901367
176,11177,-19.77161979675293
177,11199,-15.704357147216797
178,11270,-19.20505142211914
179,11343,-17.604320526123047
180,11363,-15.075942039489746
181,11415,-18.201026916503906
182,11464,-26.78954315185547
183,11515,-15.70099925994873
184,11598,-22.074586868286133
185,11748,-12.794294357299805
186,11898,-12.36679744720459
187,11923,-14.514458656311035
188,11946,-14.358842849731445
189,11969,-16.000627517700195
190,12034,-16.40125846862793
191,12059,-16.705366134643555
192,12120,-26.056007385253906
193,12144,-16.587244033813477
194,12166,-14.26444149017334
195,12316,-14.320886611938477
196,12364,-21.837465286254883
197,12514,-17.608076095581055
198,12593,23.247371673583984
199,12628,-21.402061462402344
200,12682,-14.513639450073242
201,12832,-15.870022773742676
202,12876,-20.437114715576172
203,12892,-13.867094039916992
204,12936,-19.316909790039062
205,13086,-18.24550437927246
206,13228,-21.428741455078125
207,13323,-24.314311981201172
208,13326,29.827430725097656
209,13476,-16.610849380493164
210,13514,-13.957049369812012
211,13553,-13.769001007080078
212,13556,29.81781578063965
213,13586,-15.828996658325195
214,13628,-20.192455291748047
215,13778,-13.135147094726562
216,13813,-13.902627944946289
217,13855,-16.88271713256836
218,14005,-15.309114456176758
219,14155,-13.502230644226074
220,14176,-13.7587251663208
221,14326,-12.517589569091797
222,14345,-15.999950408935547
223,14380,-20.04059600830078
224,14441,-20.73258399963379
225,14591,-11.511983871459961
226,14635,-19.9147891998291
227,14661,-15.332071304321289
228,14680,-13.15678596496582
229,14712,-13.148749351501465
230,14767,-14.655355453491211
231,14907,18.914688110351562
232,14937,-14.792925834655762
233,14969,-16.9385986328125
234,15119,-9.473851203918457
235,15269,-12.782635688781738
236,15307,-13.6256742477417
237,15457,-15.53494930267334
238,15526,-20.448213577270508
239,15595,25.46097183227539
240,15745,-13.853106498718262
241,15790,-15.143932342529297
242,15851,-14.592354774475098
243,15902,-14.114712715148926
244,15925,-17.85883331298828
245,15975,-15.367542266845703
246,15977,29.887149810791016
247,16127,-14.093923568725586
248,16220,-27.804073333740234
249,16370,-12.851960182189941
250,16520,-12.603703498840332
251,16559,-14.156593322753906
252,16616,-14.70242977142334
253,16706,-27.621484756469727
254,16754,-13.889424324035645
255,16904,-15.891961097717285
256,16926,28.4703369140625
257,16976,-15.223716735839844
258,17126,-10.295507431030273
259,17266,16.678678512573242
260,17290,-14.80299186706543
261,17336,-14.537008285522461
262,17385,-14.42294692993164
263,17535,-14.503114700317383
264,17685,-13.467926979064941
265,17715,-17.48200225830078
266,17746,-16.682937622070312
267,17793,-16.09605598449707
268,17813,-13.441083908081055
269,17825,-13.274529457092285
270,17975,-11.412022590637207
271,18125,-12.691207885742188
272,18141,-13.775115013122559
273,18291,-14.743185997009277
274,18338,-13.756023406982422
275,18358,-13.843499183654785
276,18381,-15.139532089233398
277,18394,-13.160407066345215
278,18544,-13.194272994995117
279,18694,-10.830340385437012
280,18752,-15.673999786376953
281,18773,-13.480169296264648
282,18832,-15.850194931030273
283,18982,-11.397546768188477
284,19081,-22.701171875
285,19231,-11.878568649291992
286,19280,-14.121535301208496
287,19337,-17.482601165771484
288,19359,-16.232263565063477
289,19509,-12.218868255615234
290,19540,-15.787249565124512
291,19552,-13.203014373779297
292,19580,-14.786867141723633
293,19730,-10.975605964660645
294,19880,-13.134634017944336
295,19921,-13.872589111328125
296,19970,-14.717719078063965
297,19989,-15.158540725708008
298,20046,-20.676715850830078
299,20105,-15.659463882446289
300,20177,-20.04037094116211
301,20327,-14.256111145019531
302,20410,-20.590269088745117
303,20430,-14.33509635925293
304,20484,-16.070850372314453
305,20525,-15.655097961425781
306,20567,-14.225041389465332
307,20717,-13.103017807006836
308,20772,-14.14729118347168
309,20840,-15.936391830444336
310,20862,-14.432613372802734
311,20883,-13.916543960571289
312,20934,-14.541804313659668
313,21084,-10.803996086120605
314,21142,-14.073698043823242
315,21168,-14.359620094299316
316,21190,-13.563077926635742
317,21259,-19.81934928894043
318,21409,-13.492894172668457
319,21559,-12.985641479492188
320,21602,-15.634881973266602
321,21752,-10.290300369262695
322,21902,-12.147429466247559
323,22052,-12.46874713897705
324,22076,-14.543200492858887
325,22226,-12.33401870727539
326,22279,-14.163605690002441
327,22330,-14.201420783996582
328,22351,-14.92184829711914
329,22501,-14.986273765563965
330,22651,-10.723177909851074
331,22801,-10.684345245361328
332,22951,-13.966970443725586
333,22969,-14.676382064819336
334,23119,-10.847859382629395
335,23140,-16.170150756835938
336,23158,-15.104998588562012
337,23247,-21.62920379638672
338,23310,-15.399090766906738
339,23413,19.955934524536133
340,23556,17.26803970336914
341,23706,-11.060247421264648
342,23767,-16.37685775756836
343,23888,20.02017593383789
344,23940,-14.371389389038086
345,23955,-15.021684646606445
346,23979,-14.126872062683105
347,24007,-18.948684692382812
348,24029,-15.028524398803711
349,24031,29.876798629760742
350,24072,-13.867082595825195
351,24099,-15.690763473510742
352,24249,-12.06528377532959
353,24365,22.519731521606445
354,24425,-14.770319938659668
355,24504,-17.10791015625
356,24654,-12.055549621582031
357,24804,-10.347636222839355
358,24907,-19.475162506103516
359,25057,-13.393959045410156
360,25103,-14.742524147033691
361,25253,-11.764273643493652
362,25403,-13.931036949157715
363,25445,-14.09684944152832
364,25502,-14.58773136138916
365,25652,-14.05161190032959
366,25708,-14.169356346130371
367,25773,-15.87667179107666
368,25820,-14.814553260803223
369,25845,-14.763381958007812
370,25864,-13.313705444335938
371,26014,-10.725260734558105
372,26069,-14.72298812866211
373,26172,22.68004608154297
374,26322,-12.15136432647705
375,26472,-14.263553619384766
376,26536,-15.379281044006348
377,26551,-13.427886962890625
378,26600,-13.724569320678711
379,26750,-13.39377498626709
380,26773,-13.463648796081543
381,26796,-13.730976104736328
382,26844,-14.150263786315918
383,26994,-10.951109886169434
384,27054,-14.422119140625
385,27074,-13.589080810546875
386,27224,-14.496333122253418
387,27278,-14.182543754577637
388,27412,18.64569854736328
389,27461,-13.64588737487793
390,27502,-16.47751235961914
391,27565,-15.66946792602539
392,27640,23.814590454101562
393,27660,-15.820732116699219
394,27712,-15.400279998779297
395,27764,-13.882965087890625
396,27769,29.702672958374023
397,27787,-14.164037704467773
398,27894,20.152767181396484
399,27951,-15.216904640197754
400,27993,-13.736871719360352
401,28008,-13.86338996887207
402,28037,-17.902523040771484
403,28078,-13.091652870178223
404,28163,23.54640769958496
405,28183,-13.148835182189941
406,28262,-19.277973175048828
407,28386,19.430065155029297
408,28410,-14.951757431030273
409,28452,-13.524541854858398
410,28489,-13.116249084472656
411,28522,-13.783020973205566
412,28554,-15.640605926513672
413,28577,-16.33480453491211
414,28727,-11.567575454711914
415,28877,-13.350521087646484
416,28937,-15.153594970703125
417,29087,-13.104783058166504
418,29110,-15.058135986328125
419,29154,-13.902200698852539
420,29174,-15.208070755004883
421,29224,-14.059148788452148
422,29292,-17.280174255371094
423,29411,19.543785095214844
424,29474,-15.016542434692383
425,29527,-14.697239875793457
426,29610,-19.20417022705078
427,29658,-24.5415096282959
428,29672,29.174427032470703
429,29795,19.996841430664062
430,29853,-14.488398551940918
431,29901,-14.256755828857422
432,29916,-14.358837127685547
433,29965,-17.796960830688477
434,29985,-14.118911743164062
435,30055,-21.34534454345703
436,30205,-12.923861503601074
437,30355,-10.790959358215332
438,30505,-10.299530029296875
439,30568,-16.107715606689453
440,30718,-11.766632080078125
441,30868,-14.774500846862793
442,30922,-14.879926681518555
443,31072,-12.858993530273438
444,31159,21.62602996826172
445,31211,-13.982646942138672
446,31294,23.0975341796875
447,31426,19.598548889160156
448,31447,-13.793132781982422
449,31541,20.936561584472656
450,31691,-11.612899780273438
451,31726,27.37734603881836
452,31815,22.89959716796875
453,31864,-14.175777435302734
454,31917,-14.60647964477539
455,31934,-13.390067100524902
456,32041,22.265621185302734
457,32191,-10.601534843444824
458,32341,-10.823724746704102
459,32436,22.66305923461914
460,32471,-13.179713249206543
461,32621,-10.961665153503418
462,32665,-13.848859786987305
463,32688,-13.753605842590332
464,32711,-15.939903259277344
465,32733,-15.883064270019531
466,32795,-17.292409896850586
467,32812,29.07517433166504
468,32857,-13.740492820739746
469,32877,28.80340003967285
470,32960,-17.436279296875
471,33021,-18.23938751220703
472,33085,-16.946388244628906
473,33121,-13.186217308044434
474,33140,28.683197021484375
475,33167,-13.798940658569336
476,33223,-14.840103149414062
477,33241,-13.420003890991211
478,33295,-15.406569480895996
479,33349,24.08066749572754
480,33351,29.89107894897461
481,33372,-13.631410598754883
482,33474,21.9609375
483,33547,-20.099773406982422
484,33606,-16.68959617614746
485,33652,-14.08065414428711
486,33679,-13.408109664916992
487,33829,-11.45606517791748
488,33886,-15.105253219604492
489,33921,-17.97182846069336
490,34071,-13.294147491455078
491,34116,-13.712132453918457
492,34203,-22.723369598388672
493,34221,-14.556114196777344
494,34284,25.56893539428711
495,34434,-13.548421859741211
496,34504,-16.507553100585938
497,34531,-13.520166397094727
498,34604,24.540956497192383
499,34695,-21.299602508544922
500,34747,-14.426887512207031
